repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,seconds,verified_reads,workload,device_read_bytes_per_op,device_write_amplification,cpu_percent
2,3.0716650000000003,3.4733099999999997,115456000000,907500,0,0,True,v2,10.738547240944646,1719,27500,2749.0680936818294,5666.264,12572.114,10264.611,115343360000,read,16,10.003389899,True,4194304,4198400.0,0.0,65.42757071434629
2,3.486972999999999,3.851432999999999,125066137600,983037,0,0,True,v2,11.615846136985162,1862,29789,2973.6566110682015,20997.053,43718.161,36880.599,124944121856,read,64,10.017632799,True,4194304,4198400.0,0.0,73.25489112290627
2,0.010734000000000007,0.032373,0,0,570429440,8193,True,legacy,9.154186154403291,0,8192,149982.18595374352,,,,536870912,write,64,0.05461982,True,65536,0.0,1.0625076293945312,78.92190051157255
2,0.068466,0.328789,5158965248,74089,0,0,True,legacy,0.45219653902844054,4631,74089,7408.78809544197,127.218,395.982,167.517,4855496704,read,1,10.000151043,True,65536,69632.0,0.0,3.9724899983193183
2,1.6741259999999998,5.735628,124341723136,1785698,0,0,True,legacy,10.898380589737037,111607,1785698,178559.06758225162,284.954,1898.441,1248.285,117027504128,read,64,10.000601057,True,65536,69632.0,0.0,74.09308658316574
2,0.014621000000000002,0.026689,0,0,570425344,8192,True,v2,9.182535266031728,0,8192,150446.65779866383,,,,536870912,write,64,0.054451193,True,65536,0.0,1.0625,75.86610636795413
2,0.09655,0.317701,3443929088,98918,0,0,True,v2,0.30186999224726124,3092,49459,4945.837952979128,187.286,1182.206,412.812,3241345024,read,1,10.000125453,True,65536,69632.0,0.0,4.142458031621256
2,4.7660029999999995,4.671865,103877156864,2983517,0,0,True,v2,9.104782815515938,93238,1491802,149172.76164941312,391.492,2137.557,957.101,97766735872,read,64,10.00049864,True,65536,69632.0,0.0,94.37397413615368
2,0.013314000000000006,0.036635,0,0,580751360,8230,True,legacy,8.983373334484199,0,30656,550938.0665891035,,,,536725248,write,64,0.055643278,True,mixed,0.0,1.0820272796259438,89.76645840311566
2,0.11182600000000004,0.24284699999999998,3728146432,112271,0,0,True,legacy,0.18272191515772207,7017,112271,11227.046854528306,71.908,187.126,173.706,1961970912,read,1,10.000047337,True,mixed,33206.673424125554,0.0,3.5467132109236736
2,2.937793,5.093837000000001,116728528896,3506634,0,0,True,legacy,5.718997063698971,219198,3507166,350701.53593115543,156.737,916.222,600.068,61409901080,read,64,10.000429541,True,mixed,33282.86396937014,0.0,80.31285023379976
2,0.012609000000000002,0.032762,0,0,568975360,4790,True,v2,8.606930477117814,0,30656,527851.3382191954,,,,536725248,write,64,0.058076958,True,mixed,0.0,1.0600868174548779,78.12220467883321
2,0.280058,0.202554,2096336896,150769,0,0,True,v2,0.12387468920971166,4751,76002,7600.163564055858,123.637,233.166,229.245,1330100724,read,1,10.000047941,True,mixed,27582.654351201283,0.0,4.8260968632090275
2,5.394687,4.490439,67010248704,4818653,0,0,True,v2,3.9618182979789314,151795,2428707,242864.08416376967,250.285,590.818,475.351,42540858876,read,64,10.000272409,True,mixed,27590.915126443822,0.0,98.84856727606368
