run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
split-r1-foyer-d20-k16-v4194304,foyer,20,16,4194304,640,1,94480,5.031139848,18779.044680612107,73.35564328364104,72.52187342206072,612114.9665963331,3079636,391773696000,21544.959,174587.903,269484.031,58.71417371103856,295.39921900000013,3126.5793712955137,16147.05078125,0.988633868857827,23857.814258078244,36811.93637931251
split-r1-foyer-d20-k16-v4194304,foyer,20,16,4194304,2560,1,25345,5.571500211,4549.04407074427,17.769703401344806,17.04104592719074,144001.43042550448,802304,101945548800,562561.023,868745.215,1237319.679,9.905411811892355,55.18800400000015,2177.4710593805544,16459.21484375,0.9589943930015782,5946.513281034856,9368.212873249051
split-r1-foyer-d20-k16-v65536,foyer,20,16,65536,160,1,2372122,5.00054501,474372.69242778,28.953411403062745,30.74441567342347,474086.1236643484,2370689,165075816448,325.119,600.575,762.367,42.492263458298524,212.484476,89.57569467337683,943.23828125,1.0618581432573873,23265.06406148717,25553.41462669886
split-r1-foyer-d20-k16-v65536,foyer,20,16,65536,640,1,2847676,5.000984958,569423.0284465494,34.75482351358334,36.814715126037605,567691.5695294118,2839017,197686431744,1094.655,1967.103,2328.575,53.764964553608635,268.877779,94.42007412360114,943.23828125,1.0592692295401585,27202.04142633616,29439.40068535595
split-r1-foyer-d20-k16-v65536,foyer,20,16,65536,2560,1,2904721,5.003920531,580489.0349486647,35.43023894950346,37.10123705913489,572109.8051546974,2862792,199341932544,4386.815,6369.279,7233.535,53.583778626959166,268.12897,92.30799446831554,1031.87109375,1.0471630493944168,27169.09654295227,29781.64802513727
split-r1-v1-d20-k16-v100,v1,20,16,100,160,1,14068841,5.000276745,2813612.4693634333,0.26203808089377667,10.733079793409093,2813605.4697508547,14068806,57625972736,55.487,90.623,107.391,19.99861389671943,99.998604,7.1078068193392765,11264.99609375,40.96,140287.0352528858,140909.4008055748
split-r1-v1-d20-k16-v100,v1,20,16,100,640,1,49926444,5.000358823,9984572.261165507,0.929885754470295,38.08812050310328,9983550.934460608,49921337,204498714624,61.759,112.319,146.943,19.998280631389807,99.99857900000003,2.0029181128942417,11264.99609375,40.96,491429.13278485736,512652.20971923036
split-r1-v1-d20-k16-v100,v1,20,16,100,2560,1,74853748,5.000344343,14969718.656433737,1.394163692037923,57.104944825873325,14964958.784239471,74829947,306600951808,154.111,239.743,303.871,19.998505130949532,99.99941199999996,1.3359305936156993,11264.99609375,40.96,703302.3645507767,931117.2752568172
split-r1-v1-d20-k16-v1024,v1,20,16,1024,160,1,13880172,5.000225433,2775909.2436902937,2.6473133503821313,10.589253401528525,2775907.843753412,13880165,56853184512,55.519,84.351,105.151,19.998955515092277,99.99928600000001,7.204470232789624,11264.99609375,4.0,138413.75939419572,139019.93206393102
split-r1-v1-d20-k16-v1024,v1,20,16,1024,640,1,50018547,5.000393608,10002921.953979107,9.539529756526095,38.15811902610438,10002779.165219666,50017833,204875968512,61.599,107.135,136.575,19.99826370468394,99.99918999999997,1.999242201097924,11264.99609375,4.0,492850.8019963055,515264.0375905384
split-r1-v1-d20-k16-v1024,v1,20,16,1024,2560,1,75663704,5.000342339,15131704.765464459,14.430718198265513,57.72287279306205,15131056.809828555,75660464,309918531584,154.623,236.671,272.895,19.998538744048975,99.99953999999998,1.3216315711956157,11264.99609375,4.0,716686.7300363051,931871.9967744992
split-r1-v1-d20-k16-v4096,v1,20,16,4096,160,1,12534222,5.000299228,2506694.3853704906,9.56228021763035,19.1245604352607,2506694.3853704906,12534222,102680346624,61.535,96.895,115.199,19.998620170576718,99.999085,7.978084718780312,11264.99609375,2.0,124914.72440336924,125655.48007240177
split-r1-v1-d20-k16-v4096,v1,20,16,4096,640,1,43641018,5.000445708,8727425.623316057,33.292486661209324,66.58497332241865,8727377.627594473,43640778,357507219456,69.759,123.391,157.695,19.998340715911233,100.00061699999998,2.29143639591542,11264.99609375,2.0,428875.7693277209,452300.48121142405
split-r1-v1-d20-k16-v4096,v1,20,16,4096,2560,1,50702500,5.00048782,10139510.748773307,38.67916392812083,77.35832785624166,10139359.963484522,50701746,415354880000,258.047,324.863,417.791,19.99838367769487,100.00167400000001,1.9723223509688874,11264.99609375,2.0,441615.51422397024,747572.4638401379
split-r1-v1-d20-k16-v4194304,v1,20,16,4194304,160,1,278353,5.004624969,55619.15262865724,217.26231495569235,217.47448518514125,1835432.0367456889,9185649,1168637235200,2723.839,6127.615,7270.399,19.96176768865096,99.901161,358.90096747654957,10321.32421875,1.0009765625,91378.27566155836,92387.14246601921
