run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
matrix-r2-foyer-d20-k16-v1024,foyer,20,16,1024,640,1,2959386,5.00104722,591753.2608300387,0.5643398865032565,2.256936203283136,591633.4859161758,2958787,12119371776,1042.431,2070.527,2486.271,52.74567733435637,263.783623,89.13457825373236,587.58984375,3.9992498443933977,28427.246083871207,30995.50817678542
matrix-r2-foyer-d20-k16-v4096,foyer,20,16,4096,640,1,2994983,5.000967781,598880.6829307586,2.2845485036115973,4.568219796641647,598758.3066174526,2994371,24530190336,1032.191,2024.447,2418.687,52.60796800162389,263.090753,87.84382181802033,662.5703125,1.9996160245316918,28904.40537313272,31470.9086105188
matrix-r2-foyer-d20-k16-v4194304,foyer,20,16,4194304,640,1,52958,5.066634046,10452.304137064964,40.82931303541002,40.408463637739786,341159.2359556019,1728529,219832422400,56524.799,157810.687,197132.287,19.941132728890206,101.034422,1907.8217077684203,15959.640625,0.9896924692976038,14418.842832684033,19180.58401646796
matrix-r2-foyer-d20-k16-v65536,foyer,20,16,65536,640,1,3216019,5.000912502,643086.43646811,39.25088113208679,41.57893679078301,641156.988593119,3206370,223265955840,965.631,1747.967,2080.767,53.83206342689176,269.209439,83.70890812523184,937.1015625,1.0593121884541106,30965.948701975507,33644.259909108885
matrix-r2-v1-d20-k16-v100,v1,20,16,100,640,1,49977723,5.000459579,9994625.935961396,0.9308220758998204,38.12647222885664,9993615.228861347,49972669,204708753408,61.695,112.255,146.943,19.997975270104668,99.999067,2.0008728088712644,11264.99609375,40.96,492882.6962926641,513935.7611833622
matrix-r2-v1-d20-k16-v1024,v1,20,16,1024,640,1,50023366,5.000398665,10003875.560989896,9.54043918704023,38.16175674816092,10003730.57255026,50022641,204895707136,61.599,107.071,136.575,19.99819488392732,99.99894699999999,1.999044746409108,11264.99609375,4.0,492292.74802232196,516370.4282366455
matrix-r2-v1-d20-k16-v4096,v1,20,16,4096,640,1,43658518,5.000351139,8731090.434727168,33.30646680727832,66.61293361455664,8731047.237760795,43658302,357650579456,69.695,123.455,157.695,19.998540146522295,99.99972299999999,2.290497423664266,11264.99609375,2.0,428759.089192436,453483.95281965815
matrix-r2-v1-d20-k16-v4194304,v1,20,16,4194304,640,1,294857,5.008428503,58872.159165970625,229.96937174207275,230.19395120666462,1942781.2524770307,9730281,1237927628800,10297.343,20905.983,25739.263,19.966030250826563,99.998435,339.1421434797207,10321.32421875,1.0009765625,95440.11653828733,98233.80721224204
matrix-r2-v1-d20-k16-v65536,v1,20,16,65536,640,1,15359493,5.000857116,3071372.0955669875,187.46167575482102,199.17803048949733,3071372.0955669875,15359493,1069512216576,183.295,549.887,826.879,19.997237609537812,100.003328,6.510848242191328,10372.7890625,1.0625,152139.51975667686,154751.07207602132
matrix-r2-v2-d20-k16-v100,v2,20,16,100,640,1,50223555,5.000365138,10043977.512427812,0.935418299625424,38.314733552657366,10043188.370056987,50219609,205715681280,61.855,112.255,146.687,19.99829397258709,99.99877200000002,1.9910731528263983,11315.8046875,40.96,494443.69196384074,515857.5281627763
